Blog	hands	support	ask	customers	questions	doesn	anyone	our	job	hard	way	able	work	know	making	most	often	never	met	m	going	make	even	mean	part	personal	experience	made	times	those	still	ways	china	us	working	hours	per	week	works	question	run	company	write	should	product	too	listen	learn	same	used	itself	great	always	kind	design	small	also	says	huge	front	must	thing	wouldn	really	would	come	then	trying	d	say	such	back	took	twitter	his	others	own	stories	before	long	something	down	today	released	episode	into	apple	keep	only	number	problems	getting	better	fact	many	problem	makes	isn	start	these	comes	might	did	order	code	red	aren	online	feel	security	team	wrote	blog	post	data	using	access	morning	another	book	good	news	won	age	users	least	school	every	why	course	seem	well	seems	didn	things	different	students	probably	less	while	bad	little	bit	rather	go	think	happy	easter	house	late	night	saturday	real	see	plan	asked	america	report	her	she	talking	point	enough	white	friday	friend	reading	sometimes	far	yet	buy	page	written	together	five	women	research	interview	special	until	putting	line	fire	said	war	children	who	them	u	want	impeachment	read	mueller	through	let	its	lives	believe	deep	country	side	trump	full	may	already	administration	need	once	again	example	both	third	level	take	whole	almost	anything	does	days	talk	find	answer	because	he	power	chance	stuff	thought	public	two	end	right	next	service	between	cars	along	worth	very	use	features	car	legal	whatever	driving	old	without	being	turn	happen	step	learning	maybe	few	weeks	update	big	important	reason	off	having	help	much	change	second	doing	set	entire	couple	including	via	com	april	man	since	nbsp	years	view	pay	against	billion	recent	knew	president	three	last	gift	list	any	everything	high	easy	nothing	given	me	appeared	case	co	him	global	weekend	short	friends	recently	share	favorite	sure	built	try	official	cost	six	left	ten	death	however	especially	someone	else	photos	san	art	giving	four	social	media	possible	launch	matter	early	starting	haven	place	best	love	type	ll	put	machine	whether	turned	though	google	app	called	went	live	games	actually	am	posts	past	future	phone	services	show	release	source	were	idea	website	top	tech	site	later	similar	across	technology	link	yourself	text	web	group	b	each	goes	process	pick	based	members	current	look	home	thanks	free	around	open	could	create	add	user	where	added	screen	fun	happens	saw	yesterday	name	smart	living	likely	perhaps	search	results	wrong	links	hand	simple	photo	record	game	needed	ago	street	world	thrones	everyone	gets	ready	dead	seven	characters	spend	john	universe	building	lot	happened	space	york	city	law	large	tv	during	image	camera	system	version	available	events	editor	according	facebook	series	sunday	save	c	donald	began	decade	latest	outside	year	ever	season	told	state	network	robert	creating	original	sign	face	away	instead	event	stop	whose	boy	edition	netflix	watch	close	content	visit	leaving	hot	kids	music	play	call	office	started	cover	decided	amp	saying	got	email	college	business	seen	wasn	earth	head	finally	following	e	response	project	heart	human	tools	taking	family	life	light	tell	means	videos	youtube	check	calls	stay	miss	science	inspired	found	needs	give	changed	shows	companies	build	behind	key	platforms	director	information	center	understand	video	looking	helping	please	black	created	became	million	local	person	th	pretty	coachella	provide	amazing	remember	months	internet	rules	continue	quite	worked	dogs	attacks	running	done	follow	become	language	within	review	helped	led	nearly	under	word	reasons	hope	month	water	story	readers	seattle	james	among	notes	amazon	cut	earlier	spent	speaking	wanted	piece	worst	self	sense	felt	failure	writing	article	super	money	terms	writers	tells	explain
Matt Cutts: Gadgets, Google, and SEO	0	1	0	0	0	0	0	0	1	1	2	0	3	1	1	0	0	0	0	0	0	2	0	0	1	1	0	0	0	0	1	0	0	7	0	0	0	2	0	0	0	0	0	1	0	1	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	1	0	0	1	0	0	1	1	1	0	0	3	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	3	1	0	2	0	0	0	0	0	0	0	0	1	0	1	0	1	2	0	2	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	4	0	0	0	0	0	0	1	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	4	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	7	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	1	3	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	1
mezzoblue	0	3	1	0	0	1	0	1	0	0	2	0	0	0	0	1	0	0	0	1	0	2	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	2	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	2	0	0	1	0	0	1	0	0	0	0	1	0	0	2	0	0	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	3	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Neil Gaiman's Journal	2	4	4	0	9	1	4	12	2	8	14	1	25	10	9	14	3	12	7	57	24	35	33	2	8	3	2	20	12	7	14	2	0	30	6	10	0	7	0	2	2	1	15	12	0	26	6	5	9	3	2	8	7	11	3	12	14	1	7	0	4	21	2	20	38	8	37	9	24	3	10	21	13	2	44	4	10	21	17	14	30	8	5	1	10	21	1	5	27	5	0	12	6	1	17	0	7	9	2	12	6	5	23	1	0	2	3	3	7	0	3	18	12	8	0	3	0	6	12	49	35	3	5	0	0	3	1	2	7	0	2	8	2	11	59	6	3	6	6	12	9	10	15	3	24	9	5	0	4	5	11	1	4	26	0	12	3	0	17	24	11	1	5	1	0	5	16	12	1	8	4	9	9	7	2	2	0	9	2	6	2	7	0	15	2	6	54	56	0	17	0	34	0	12	11	6	2	1	1	2	4	0	2	9	3	0	16	5	13	0	7	1	1	13	5	10	5	6	30	11	15	5	38	74	3	1	7	9	7	26	4	10	17	0	11	0	4	1	23	2	2	0	2	14	1	11	9	11	4	2	3	2	4	15	10	0	8	1	1	10	6	9	28	6	6	26	8	1	11	5	3	27	4	12	9	329	31	0	8	1	0	3	3	0	10	25	3	1	11	8	3	2	6	0	87	1	3	10	29	0	2	7	14	1	5	0	10	0	4	2	2	3	8	2	7	3	4	13	6	3	10	15	3	7	1	2	2	0	5	6	2	5	6	8	27	4	17	13	0	1	2	3	2	1	10	26	6	1	9	23	0	1	0	2	0	6	0	1	26	6	2	0	0	0	5	0	1	2	9	11	10	0	1	4	9	9	4	1	3	1	0	9	7	1	4	7	1	30	0	0	0	28	3	2	6	5	5	6	4	3	2	0	6	0	2	0	4	3	3	9	2	0	2	34	1	26	0	9	4	3	3	2	2	2	2	0	1	15	2	0	12	1	2	2	4	5	0	0	0	3	6	7	1	1	2	5	2	1	3	0	3	5	0	1	52	12	3	10	1	0	6	1	8	2	0	11	7	9	4	0	3	4	0	5	1	1	1	3	1	1	4	1	3	1	11	15	2	1	1	22	2	4	1	4	9	0	4	4	1	9	1	0	3	3	0	2	10	9	5	11	7	1	2	1	2	2	8	2	4	6	1	7	5	3	0	2	1	0	0	3	0	2	5	7	5	2	3	1	0	6	3	1	10	19	1	0	1	7	7	6	5	1	1	7	5	0	0	6	15	0	4	4	1	7	3	1	2	1	9	0	20	5	3	9	0	6	7	1	1	4	0	2	8	2	6	3	3	4	2	6	0	24	3	0	18	2	8	1	2
Derek Powazek	4	0	1	0	1	0	0	3	1	3	0	1	3	6	0	2	2	3	1	12	4	1	1	0	2	0	0	2	1	1	4	1	0	4	0	0	0	3	0	0	0	1	3	1	1	2	0	0	3	1	2	5	4	1	1	2	2	0	0	0	1	4	0	2	0	3	7	0	2	3	0	2	3	1	3	0	2	1	1	1	8	2	2	0	0	4	0	0	1	1	0	2	0	0	1	0	0	0	0	2	1	1	4	0	0	0	0	2	5	0	0	1	1	3	0	1	0	2	3	6	1	1	0	0	0	0	0	3	1	1	0	2	0	1	1	0	0	1	1	1	3	7	0	0	4	4	4	0	0	0	2	0	0	3	0	0	0	0	9	7	1	0	5	1	2	1	4	0	0	1	1	1	0	1	0	0	0	0	2	0	0	0	0	3	0	0	1	2	0	1	0	0	0	1	1	1	1	0	0	0	0	0	1	0	1	0	1	2	2	0	2	0	0	1	0	1	1	0	4	3	1	1	3	5	0	1	1	1	0	9	0	4	1	0	4	0	1	0	1	0	1	1	0	0	0	2	0	0	0	0	0	0	1	5	2	1	1	0	0	1	0	0	1	1	0	1	0	0	4	0	0	1	0	1	1	0	5	0	0	1	0	0	1	0	4	7	3	0	0	2	1	2	0	0	15	0	0	0	2	0	0	1	2	0	1	0	1	0	1	0	2	2	1	0	1	0	2	0	1	2	2	0	0	0	0	2	1	0	0	1	0	0	0	1	1	0	4	1	0	0	2	0	0	0	0	3	2	0	0	3	0	0	0	0	0	3	0	0	2	0	0	2	1	2	1	0	0	0	2	1	0	1	0	0	1	2	1	0	0	2	0	0	0	0	0	1	1	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	2	1	3	0	1	2	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	4	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	3	0	0	1	1	1	1	0	0	1	0	0	1	0	2	0	1	0	0	1	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	1	1	5	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	2	0	2	1	0	4	0	1	2	0	0	1	1	0	0	0	0	0	0	0	1	3	0	2	0	0	3	2	0	0	0	0	0	0	0	3	1	0	0	0	1	0	0	0	2	0	0	3	0	3	0	0
ProBlogger	1	0	0	0	1	0	0	10	6	0	3	0	0	1	2	3	2	1	0	2	0	3	3	0	3	0	1	0	2	1	1	9	0	2	0	0	0	0	0	0	0	0	11	7	0	1	1	2	0	0	0	0	2	0	0	0	1	0	1	0	0	0	0	1	0	2	4	0	1	2	1	0	1	0	1	2	0	4	1	0	4	1	4	0	8	6	0	0	0	0	0	0	5	0	2	1	0	0	14	0	0	2	0	0	0	0	0	0	4	0	0	1	54	57	0	1	0	0	1	0	4	0	0	0	0	1	0	0	8	3	0	2	0	0	1	0	0	2	0	2	0	0	0	1	0	2	0	0	0	1	0	0	0	0	4	3	0	0	9	5	0	1	0	0	0	0	1	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	4	4	0	6	0	0	0	0	4	0	1	0	0	0	0	0	0	0	3	0	2	0	3	0	0	0	1	1	0	0	0	1	3	0	0	0	2	4	0	0	0	3	0	1	2	4	1	0	0	0	0	0	0	6	0	0	0	0	0	3	0	3	0	0	6	2	0	0	0	0	0	2	0	2	0	3	1	0	0	0	0	0	0	1	0	0	0	0	1	0	2	0	0	1	0	0	0	0	1	0	0	5	1	0	0	1	1	0	1	40	0	0	0	0	0	5	0	2	0	0	1	0	0	0	0	3	1	0	0	0	1	0	2	0	0	0	0	1	0	0	0	0	0	1	6	0	0	0	0	0	2	2	0	2	3	0	0	0	0	0	1	0	0	0	6	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	2	0	0	0	0	1	0	0	1	0	5	0	8	1	0	1	1	0	1	1	0	0	3	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	5	0	0	0	0	1	0	0	0	1	2	0	0	0	0	0	2	0	1	1	0	0	0	1	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	3	0	0	3	2	0	0	3	0	0	5	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	3	0	5	3	0	0	0	0	2	2	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	6	0	3	0	0	0	0	0
Quick Online Tips	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	1	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	18	0	0	1	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	8	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	8	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	8	2	0	0	0	0	0
Schneier on Security	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	2	0	1	0	0	0	0	1	0	2	0	0	2	0	7	0	1	2	3	2	0	0	0	0	0	1	2	0	0	0	0	0	0	0	1	0	0	2	0	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	2	0	1	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
Search Engine Roundtable	0	1	0	0	2	2	0	0	0	0	1	0	1	3	1	0	0	0	0	0	1	3	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	2	0	0	0	4	2	0	0	0	0	0	0	0	3	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	3	0	0	0	0	4	0	0	0	0	0	0	0	0	3	2	0	0	0	1	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	7	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	6	0	0	0	1	0	0	1	0	0	0	1	0	0	2	0	0	0	0	0	0	2	0	0	0	0	2	1	0	0	0	0	18	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ShoeMoney	1	0	0	1	0	3	3	0	0	0	6	0	7	8	4	6	1	1	0	2	9	9	4	1	1	1	1	1	0	1	0	5	0	5	1	0	2	2	1	0	0	0	0	4	2	3	0	4	2	0	2	0	1	2	3	1	1	0	0	0	0	4	0	2	5	0	6	3	4	1	0	2	1	1	2	0	3	2	4	1	2	7	5	0	0	7	0	2	2	1	2	0	0	4	1	1	1	1	4	7	2	2	1	0	0	0	2	1	2	0	1	0	0	0	1	2	1	1	2	0	3	0	1	0	0	2	0	3	9	0	1	2	2	1	1	1	0	1	0	0	3	1	2	0	1	6	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	1	2	2	1	2	0	1	0	0	2	1	0	1	1	0	0	0	0	0	0	5	1	1	1	0	2	0	0	5	1	0	0	2	0	0	0	0	0	1	0	6	0	1	2	1	0	0	4	1	0	0	2	0	2	3	1	3	2	0	0	0	2	0	2	2	1	0	1	0	0	1	2	0	8	1	1	0	0	0	0	3	0	2	0	1	0	5	4	0	0	0	1	1	3	0	2	4	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	3	0	0	0	1	0	2	2	1	0	9	0	0	1	1	0	1	0	1	1	0	0	1	1	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	3	3	1	0	0	2	1	0	0	5	0	2	0	2	1	0	1	0	4	2	0	1	0	0	4	0	0	0	3	1	0	1	0	0	2	0	0	5	0	0	0	1	0	0	0	2	0	1	0	3	0	0	1	0	1	0	0	5	1	0	1	3	0	2	1	1	3	1	0	0	0	2	0	0	1	0	0	1	1	10	0	2	0	1	1	0	0	3	0	1	2	4	0	3	0	1	1	0	0	0	0	0	2	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	1	0	0	0	0	0	0	1	1	0	2	0	0	0	2	0	0	0	0	1	0	3	0	0	0	0	2	0	2	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	8	0	0	0	0	1	0	3	0	2	0	0	0	0	0	1	0	0	1	0	0	4	0	2	0	1	1	0	0	1	0	0	1	0	2	0	1	0	2	0	1	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	5	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	0	1	2	0	0	1	0	0	10	1	2	0	1
Steve Pavlina	0	0	1	0	0	1	0	0	1	0	3	0	3	6	0	1	0	1	0	0	0	1	0	1	0	1	4	2	1	1	1	0	0	3	1	1	1	1	0	1	0	0	0	0	0	1	2	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	2	1	1	0	2	0	0	0	0	0	1	1	0	0	0	0	1	3	2	0	1	1	0	0	3	0	2	0	0	0	4	2	0	1	0	1	0	3	0	0	0	0	0	0	1	0	0	0	0	21	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0	11	0	2	0	0	0	3	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	4	2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	4	0	1	0	0	0	2	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	10	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	1	0	0	0	0	2	1	1	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	5	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1	1	0	0	3	0	0	2	20	0	1	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	4	0	0	1	1	0	0	0	0	0	0	0	1	2	0	4	0	0	1	1	0	0	0	0	0	2	0	2	1	0	0	0	0	0	0	3	1	0	0	2	0	3	0	0	0	2	0	0	0	0	0	4	0	1	2	0	0	0	1	9	0	0	0	0	0	0	0	2	0	1	0	0	0	3	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	1	0	1	2	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	1	2	0	0	1	0	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0
